,link,type,year
57,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkJudgeoftheCivilCourtCountyNYRecap.pdf,General,2005
58,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkJusticeoftheSupremeCourt1NYRecap.pdf,General,2005
59,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkMayorNYRecap.pdf,General,2005
60,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkProp1NYRecap.pdf,General,2005
61,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkProp2NYRecap.pdf,General,2005
62,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkPublicAdvocateNYRecap.pdf,General,2005
63,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkQ3EthicsNYRecap.pdf,General,2005
64,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkQ4BudgetNYRecap.pdf,General,2005
65,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Manhattan/NewYorkSurrogateNYRecap.pdf,General,2005
66,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxBoroughPresidentRecap.pdf,General,2005
67,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil8Recap.pdf,General,2005
68,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil11Recap.pdf,General,2005
69,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil12Recap.pdf,General,2005
70,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil13Recap.pdf,General,2005
71,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil14Recap.pdf,General,2005
72,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil15Recap.pdf,General,2005
73,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil16Recap.pdf,General,2005
74,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil17Recap.pdf,General,2005
75,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCityCouncil18Recap.pdf,General,2005
76,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxComptrollerRecap.pdf,General,2005
77,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxCountywideCourtRecap.pdf,General,2005
78,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxMayorRecap.pdf,General,2005
79,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxProposal1Re-Cap.pdf,General,2005
80,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxProposal2Re-Cap.pdf,General,2005
81,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxPublicAdvocateRecap.pdf,General,2005
82,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxQuestion3Re-Cap.pdf,General,2005
83,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxQuestion4Re-Cap.pdf,General,2005
84,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Bronx/BronxSupremeCourt12Recap.pdf,General,2005
85,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsAssembly43Recap.pdf,General,2005
86,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsBoroughPresidentRecap.pdf,General,2005
87,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil33Recap.pdf,General,2005
88,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil34Recap.pdf,General,2005
89,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil35Recap.pdf,General,2005
90,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil36Recap.pdf,General,2005
91,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil37Recap.pdf,General,2005
92,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil38Recap.pdf,General,2005
93,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil39Recap.pdf,General,2005
94,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil40Recap.pdf,General,2005
95,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil41Recap.pdf,General,2005
96,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil42Recap.pdf,General,2005
97,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil43Recap.pdf,General,2005
98,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil44Recap.pdf,General,2005
99,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil45Recap.pdf,General,2005
100,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil46Recap.pdf,General,2005
101,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil47Recap.pdf,General,2005
102,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil48Recap.pdf,General,2005
103,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCityCouncil50Recap.pdf,General,2005
104,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCivilCourtDistrict3Recap.pdf,General,2005
105,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCivilCourtDistrict5Recap.pdf,General,2005
106,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCivilCourtDistrict6Recap.pdf,General,2005
107,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCivilCourtDistrict8Recap.pdf,General,2005
108,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsComptrollerRecap.pdf,General,2005
109,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsCountywideCourtRecap.pdf,General,2005
110,http://vote.nyc.ny.us/downloads/pdf/results/2005/general/Brooklyn/KingsDistrictAttorneyRecap.pdf,General,2005
