,link,type,year
620,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.48KingsAssembly56_Recap.pdf,General,2008
621,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.49KingsAssembly57_Recap.pdf,General,2008
622,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.51KingsAssembly58_Recap.pdf,General,2008
623,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.52KingsAssembly59_Recap.pdf,General,2008
624,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.53KingsAssembly60_Recap.pdf,General,2008
625,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.54KingsCivilCourtDistrict1_Recap.pdf,General,2008
626,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.55KingsCivilCourtDistrict4_Recap.pdf,General,2008
627,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/3.56KingsBallotProposalOne_Recap.pdf,General,2008
628,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.11QueensPresident_Recap.pdf,General,2008
629,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.12QueensSupremeCourt_Recap.pdf,General,2008
630,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.13QueensCountywideCourt_Recap.pdf,General,2008
631,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.14QueensCongress5_Recap.pdf,General,2008
632,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.15QueensCongress6_Recap.pdf,General,2008
633,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.16QueensCongress7_Recap.pdf,General,2008
634,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.17QueensCongress9_Recap.pdf,General,2008
635,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.21QueensCongress12_Recap.pdf,General,2008
636,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.22QueensCongress14_Recap.pdf,General,2008
637,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.31QueensStateSenate10_Recap.pdf,General,2008
638,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.32QueensSenate11_Recap.pdf,General,2008
639,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.33QueensStateSenate12_Recap.pdf,General,2008
640,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.34QueensStateSenate13_Recap.pdf,General,2008
641,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.35QueensStateSenate14_Recap.pdf,General,2008
642,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.36QueensStateSenate15_Recap.pdf,General,2008
643,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.37QueensStateSenate16_Recap.pdf,General,2008
644,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.41QueensAssembly22_Recap.pdf,General,2008
645,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.42QueensAssembly23_Recap.pdf,General,2008
646,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.43QueensAssembly24_Recap.pdf,General,2008
647,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.44QueensAssembly25_Recap.pdf,General,2008
648,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.45QueensAssembly26_Recap.pdf,General,2008
649,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.46QueensAssembly27_Recap.pdf,General,2008
650,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.47QueensAssembly28_Recap.pdf,General,2008
651,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.48QueensAssembly29_Recap.pdf,General,2008
652,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.49QueensAssembly30_Recap.pdf,General,2008
653,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.51QueensAssembly31_Recap.pdf,General,2008
654,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.52QueensAssembly32_Recap.pdf,General,2008
655,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.53QueensAssembly33_Recap.pdf,General,2008
656,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.54QueensAssembly34_Recap.pdf,General,2008
657,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.55QueensAssembly35_Recap.pdf,General,2008
658,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.56QueensAssembly36_Recap.pdf,General,2008
659,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.57QueensAssembly37_Recap.pdf,General,2008
660,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.58QueensAssembly38_Recap.pdf,General,2008
661,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.59QueensAssembly39_Recap.pdf,General,2008
662,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.60QueensCouncil30_Recap.pdf,General,2008
663,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.61QueensCivilCourtDistrict4_Recap.pdf,General,2008
664,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/4.62QueensBallotProposalOne_Recap.pdf,General,2008
665,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.11RichmondPresident_Recap.pdf,General,2008
666,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.12RichmondSupremeCourt_Recap.pdf,General,2008
667,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.13RichmondCongress13_Recap.pdf,General,2008
668,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.14RichmondSenate23_Recap.pdf,General,2008
669,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.15RichmondSenate24_Recap.pdf,General,2008
670,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.16RichmondAssembly60_Recap.pdf,General,2008
671,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.17RichmondAssembly61_Recap.pdf,General,2008
672,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.18RichmondAssembly62_Recap.pdf,General,2008
673,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.19RichmondAssembly63_Recap.pdf,General,2008
674,http://vote.nyc.ny.us/downloads/pdf/results/2008/general/5.21RichmondBallotProposal_Recap.pdf,General,2008
675,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.1_NYDemSurrogateRecap.pdf,Primary,2008
676,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.2_NYDemCivilCourtCountywideRecap.pdf,Primary,2008
677,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.3_CrossoverDem25SenateRecap.pdf,Primary,2008
678,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.4_NYDem25SenateRecap.pdf,Primary,2008
679,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.5_NYDem64AssemblyRecap.pdf,Primary,2008
680,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.6_NYDem72AssemblyRecap.pdf,Primary,2008
681,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.7_NYDem69MaleStCommRecap.pdf,Primary,2008
682,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.8_NYDem72MaleStCommRecap.pdf,Primary,2008
683,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.91_NYDem75DelJudRecap.pdf,Primary,2008
684,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.92_NYDem72AltDelJudRecap.pdf,Primary,2008
685,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.93_NYDem75AltDelJudRecap.pdf,Primary,2008
686,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.94_NYIND68MaleStCommRecap.pdf,Primary,2008
687,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.95_NYIND68FemaleStCommRecap.pdf,Primary,2008
688,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/1.9_NYDem72DelJudRecap.pdf,Primary,2008
689,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.12_BronxDem33SenateRecap.pdf,Primary,2008
690,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.13_BronxDem79AssemblyRecap.pdf,Primary,2008
691,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.14_BronxDem83AssemblyRecap.pdf,Primary,2008
692,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.15_BronxDem85AssemblyRecap.pdf,Primary,2008
693,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.16_BronxDem86AssemblyRecap.pdf,Primary,2008
694,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.17_BronxDem78MaleStCommRecap.pdf,Primary,2008
695,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.18_BronxDem78FemaleStCommRecap.pdf,Primary,2008
696,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.19_BronxDem78DelJudRecap.pdf,Primary,2008
697,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.1_BronxDemCivilCourtCountyRecap.pdf,Primary,2008
698,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.21_BronxDem79MaleStCommRecap.pdf,Primary,2008
699,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.22_BronxDem79FemaleStCommRecap.pdf,Primary,2008
700,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.23_BronxDem79MaleDistLeaderRecap.pdf,Primary,2008
701,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.24_BronxDem79FemaleDistLeaderRecap.pdf,Primary,2008
702,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.25_BronxDem79DelJudRecap.pdf,Primary,2008
703,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.26_BronxDem79AltDelJudRecap.pdf,Primary,2008
704,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.27_BronxDem80MaleStCommRecap.pdf,Primary,2008
705,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.28_BronxDem80FemaleStCommRecap.pdf,Primary,2008
706,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.29_BronxDem80MaleDistLeaderRecap.pdf,Primary,2008
707,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.31_BronxDem80DelJudRecap.pdf,Primary,2008
708,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.3_BronxDem80FemaleDistLeaderRecap.pdf,Primary,2008
709,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.41_BronxDem82DelJudRecap.pdf,Primary,2008
710,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.4_BronxDem82AMaleDistLeaderRecap.pdf,Primary,2008
711,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.51_BronxDem83FemaleDistLeaderRecap.pdf,Primary,2008
712,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.52_BronxDem83DelJudRecap.pdf,Primary,2008
713,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.5_BronxDem83MaleStCommRecap.pdf,Primary,2008
714,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.61_BronxDem85FemaleStCommRecap.pdf,Primary,2008
715,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.62_BronxDem85MaleDistLeaderRecap.pdf,Primary,2008
716,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.63_BronxDem85FemaleDistLeaderRecap.pdf,Primary,2008
717,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.64_BronxDem85DelJudRecap.pdf,Primary,2008
718,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.6_BronxDem85MaleStCommRecap.pdf,Primary,2008
719,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.71_BronxDem86FemaleStCommRecap.pdf,Primary,2008
720,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.72_BronxDem86DelJudRecap.pdf,Primary,2008
721,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.7_BronxDem86MaleStCommRecap.pdf,Primary,2008
722,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/2.8_BronxDemCoCommRecaps.pdf,Primary,2008
723,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.1_KingsDem10CongressRecap.pdf,Primary,2008
724,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.2_CrossoverDem13CongressRecap.pdf,Primary,2008
725,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.31_KingsDem21SenateRecap.pdf,Primary,2008
726,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.32_KingsDem25SenateRecap.pdf,Primary,2008
727,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.33_KingsDem40AssemblyRecap.pdf,Primary,2008
728,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.34_KingsDem42AssemblyRecap.pdf,Primary,2008
729,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.35_KingsDem55AssemblyRecap.pdf,Primary,2008
730,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.36_KingsDem56AssemblyRecap.pdf,Primary,2008
731,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.37_KingsDem59AssemblyRecap.pdf,Primary,2008
732,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.38_KingsDemCivilCourtDist1Recap.pdf,Primary,2008
733,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.39_CrossoverRep13CongressRecap.pdf,Primary,2008
734,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.3_KingsDem13CongressRecap.pdf,Primary,2008
735,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.41_KingsRep13CongressRecap.pdf,Primary,2008
736,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.42_KingsDem40MaleStCommRecap.pdf,Primary,2008
737,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.43_KingsDem40FemaleStCommRecap.pdf,Primary,2008
738,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.44_KingsDem40DelJudRecap.pdf,Primary,2008
739,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.45KingsDem55MaleStCommRecap.pdf,Primary,2008
740,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.46_KingsDem55FemaleStCommRecap.pdf,Primary,2008
741,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.47_KingsDem56FemaleStCommRecap.pdf,Primary,2008
742,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.48_KingsDem57MaleStCommRecap.pdf,Primary,2008
743,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.49_KingsDemCoCommRecap.pdf,Primary,2008
744,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/3.51_KingsInd54MaleStCommRecap.pdf,Primary,2008
745,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.11_QueensDem15SenateRecap.pdf,Primary,2008
746,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.12_QueensDem16SenateRecap.pdf,Primary,2008
747,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.13_QueensDem22AssemblyRecap.pdf,Primary,2008
748,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.14_QueensDem22MaleStCommRecap.pdf,Primary,2008
749,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.15_QueensDem22FemaleStCommRecap.pdf,Primary,2008
750,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.16_QueensDem22AMaleDistLeaderRecap.pdf,Primary,2008
751,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.17_QueensDem22AFemaleDistLeaderRecap.pdf,Primary,2008
752,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.18_QueensDem22BMaleDistLeaderRecap.pdf,Primary,2008
753,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.19_QueensDem22BFemaleDistLeaderRecap.pdf,Primary,2008
754,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.1_QueensDem10SenateRecap.pdf,Primary,2008
755,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.21_QueensDem22DelJudConvRecap.pdf,Primary,2008
756,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.22_QueensDem32BMaleDistLeaderRecap.pdf,Primary,2008
757,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.23_QueensDemCoCommRecap.pdf,Primary,2008
758,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.24_QueensInd24FemaleStCommRecap.pdf,Primary,2008
759,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.25_QueensInd26MaleStCommRecap.pdf,Primary,2008
760,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.26_QueensInd26FemaleStCommRecap.pdf,Primary,2008
761,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.27_QueensInd27MaleStCommRecap.pdf,Primary,2008
762,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.28_QueensInd27FemaleStCommRecap.pdf,Primary,2008
763,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/4.29_QueensIndCoCommRecap.pdf,Primary,2008
764,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.1_RichmondDem13CongressRecap.pdf,Primary,2008
765,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.2_RichmondRep13CongressRecap.pdf,Primary,2008
766,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.3_RichmondInd60MaleStCommRecap.pdf,Primary,2008
767,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.4_RichmondInd60FemaleStCommRecap.pdf,Primary,2008
768,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.5_RichmondInd61FemaleStCommRecap.pdf,Primary,2008
769,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.6_RichmondInd61DelJudRecap.pdf,Primary,2008
770,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.7_RichmondInd62MaleStCommRecap.pdf,Primary,2008
771,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.8_RichmondInd62FemaleStCommRecap.pdf,Primary,2008
772,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.91_RichmondInd63MaleStCommRecap.pdf,Primary,2008
773,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.92_RichmondInd63FemaleStCommRecap.pdf,Primary,2008
774,http://vote.nyc.ny.us/downloads/pdf/results/2008/primary/5.93_RichmondIndCoCommRecap.pdf,Primary,2008
775,http://vote.nyc.ny.us/downloads/pdf/results/2008/Queens30Council/Queens30CouncilRecap.pdf,Other,2008
776,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/01.1NewYorkDemPresidentBoroRecaps.pdf,Primary,2008
777,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/01.2BronxDemPresidentBoroRecaps.pdf,Primary,2008
778,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/01.3KingsDemPresidentBoroRecaps.pdf,Primary,2008
779,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/01.4QueensDemPresidentBoroRecaps.pdf,Primary,2008
780,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/01.5RichmondDemPresidentBoroRecaps.pdf,Primary,2008
781,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/02.1NewYorkRepPresidentBoroRecaps.pdf,Primary,2008
782,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/02.2BronxRepPresidentBoroRecaps.pdf,Primary,2008
783,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/02.3KingsRepPresidentBoroRecaps.pdf,Primary,2008
784,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/02.4QueensRepPresidentBoroRecaps.pdf,Primary,2008
785,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/2.5RichmondRepPresidentBoroRecaps.pdf,Primary,2008
786,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/03QueensDemDel_5CongRecaps.pdf,Primary,2008
787,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/04QueensDemAlt_5CongRecaps.pdf,Primary,2008
788,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/05QueensDemDel_6CongRecaps.pdf,Primary,2008
789,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/06QueensDemAlt_6CongRecaps.pdf,Primary,2008
790,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/07CrossoverDemDel_7CongRecaps.pdf,Primary,2008
791,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/08BronxDemDel_7CongRecaps.pdf,Primary,2008
792,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/09QueensDemDel_7CongRecaps.pdf,Primary,2008
793,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/10CrossoverDemAlt_7CongRecaps.pdf,Primary,2008
794,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/11BronxDemAlt_7CongRecaps.pdf,Primary,2008
795,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/12QueensDemAlt_7CongRecaps.pdf,Primary,2008
796,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/13CrossoverDemDel_8CongRecaps.pdf,Primary,2008
797,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/14NewYorkDemDel_8CongRecaps.pdf,Primary,2008
798,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/15KingsDemDel_8CongRecaps.pdf,Primary,2008
799,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/16CrossoverDemAlt_8CongRecaps.pdf,Primary,2008
800,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/17NewYorkDemAlt_8CongRecaps.pdf,Primary,2008
801,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/18KingsDemAlt_8CongRecaps.pdf,Primary,2008
802,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/19CrossoverDemDel_9CongRecaps.pdf,Primary,2008
803,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/20KingsDemDel_9CongRecaps.pdf,Primary,2008
804,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/21QueensDemDel_9CongRecaps.pdf,Primary,2008
805,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/22CrossoverDemAlt_9CongRecaps.pdf,Primary,2008
806,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/23KingsDemAlt_9CongRecaps.pdf,Primary,2008
807,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/24QueensDemAlt_9CongRecaps.pdf,Primary,2008
808,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/25KingsDemDel_10CongRecaps.pdf,Primary,2008
809,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/26KingsDemAlt_10CongRecaps.pdf,Primary,2008
810,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/27KingsDemDel_11CongRecaps.pdf,Primary,2008
811,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/28KingsDemAlt_11CongRecaps.pdf,Primary,2008
812,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/29CrossoverDemDel_12CongRecaps.pdf,Primary,2008
813,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/30NewYorkDemDel_12CongRecaps.pdf,Primary,2008
814,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/31KingsDemDel_12CongRecaps.pdf,Primary,2008
815,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/32QueensDemDel_12CongRecaps.pdf,Primary,2008
816,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/33CrossoverDemDel_13CongRecaps.pdf,Primary,2008
817,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/34KingsDemDel_13CongRecaps.pdf,Primary,2008
818,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/35RichmondDemDel_13CongRecaps.pdf,Primary,2008
819,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/36CrossoverDemDel_14CongRecaps.pdf,Primary,2008
820,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/37NewYorkDemDel_14CongRecaps.pdf,Primary,2008
821,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/38KingsDemDel_14CongRecaps.pdf,Primary,2008
822,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/39QueensDemDel_14CongRecaps.pdf,Primary,2008
823,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/40CrossoverDemAlt_14CongRecaps.pdf,Primary,2008
824,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/41NewYorkDemAlt_14CongRecaps.pdf,Primary,2008
825,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/42QueensDemAlt_14CongRecaps.pdf,Primary,2008
826,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/43NewYorkDemDel_15CongRecaps.pdf,Primary,2008
827,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/44NewYorkDemAlt_15CongRecaps.pdf,Primary,2008
828,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/45BronxDemDel_16CongRecaps.pdf,Primary,2008
829,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/46BronxDemAlt_16CongRecaps.pdf,Primary,2008
830,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/47BronxDemDel_17CongRecaps.pdf,Primary,2008
831,http://vote.nyc.ny.us/downloads/pdf/results/2008/PresidentialPrimary/48BronxDemAlt_17CongRecaps.pdf,Primary,2008
832,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/1.12NewYorkMayorRecap.pdf,General,2009
833,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/1.13BronxMayorRecap.pdf,General,2009
834,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/1.14KingsMayorRecap.pdf,General,2009
835,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/1.15QueensMayorRecap.pdf,General,2009
836,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/1.16RichmondMayorRecap.pdf,General,2009
837,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/2.12NewYorkPublicAdvocateRecap.pdf,General,2009
838,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/2.13BronxPublicAdvocateRecap.pdf,General,2009
839,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/2.14KingsPublicAdvocateRecap.pdf,General,2009
840,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/2.15QueensPublicAdvocateRecap.pdf,General,2009
841,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/2.16RichmondPublicAdvocateRecap.pdf,General,2009
842,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/3.12NewYorkComptrollerRecap.pdf,General,2009
843,http://vote.nyc.ny.us/downloads/pdf/results/2009/General/3.13BronxComptrollerRecap.pdf,General,2009
